"","sub","rotation","imagename","match","imgID","block","correct","response_time"
"81",1,180,"006_Bett_Einzelbett","match",6,1,1,1472
"82",1,240,"090_Flugzeug_Zweiteweltkriegsflieger","mismatch",90,1,1,582
"83",1,60,"051_Regal_Holzregal","mismatch",51,1,1,1257
"84",1,180,"082_Uhr_Wanduhr","mismatch",82,1,1,1103
"85",1,300,"035_Kaffeemaschine_Espressomaschine","match",35,1,1,760
"86",1,60,"094_Boot_Segelschiff","mismatch",94,1,1,615
"87",1,0,"085_Auto_Pickuptruck","mismatch",85,1,1,590
"88",1,60,"099_Eimer_Wassereimer","match",99,1,1,783
"89",1,60,"032_Kopfhoerer_Earbudohrhoerer","mismatch",32,1,1,2120
"90",1,60,"029_Klavier_Fluegel","match",29,1,1,842
"91",1,0,"010_Blume_Gaenseblume","match",10,1,1,752
"92",1,300,"071_Stuhl_Schreibtischstuhl","mismatch",71,1,1,983
"93",1,120,"049_Nuss_Pistazie","mismatch",49,1,1,955
"94",1,240,"042_Lampe_Stehlampe","mismatch",42,1,1,973
"95",1,240,"100_Besteck_Loeffel","mismatch",100,1,1,604
"96",1,60,"078_Tisch_Sofatisch","match",78,1,0,1287
"97",1,0,"069_Stuhl_Rollstuhl","match",69,1,1,1352
"98",1,240,"019_Drucker_Heimdrucker","mismatch",19,1,1,1834
"99",1,120,"022_Gitarre_Elektrogitarre","mismatch",22,1,1,764
"100",1,0,"016_Computer_Laptop","match",16,1,1,680
"101",1,300,"010_Blume_Gaenseblume","mismatch",10,2,1,512
"102",1,120,"080_Uhr_Armbanduhr","match",80,2,1,732
"103",1,180,"068_Stuhl_Holzstuhl","match",68,2,1,694
"104",1,240,"051_Regal_Holzregal","match",51,2,1,1353
"105",1,240,"024_Glas_Trinkglas","match",24,2,1,641
"106",1,240,"085_Auto_Pickuptruck","match",85,2,1,664
"107",1,120,"023_Glas_Sektglas","mismatch",23,2,1,1231
"108",1,240,"018_Computer_Tablet","mismatch",18,2,1,679
"109",1,0,"003_Baum_Tanne","mismatch",3,2,1,602
"110",1,300,"021_Gitarre_Akustikgitarre","match",21,2,1,483
"111",1,120,"035_Kaffeemaschine_Espressomaschine","mismatch",35,2,1,1387
"112",1,240,"072_Sessel_Ledersessel","mismatch",72,2,1,1908
"113",1,300,"097_Besteck_Gabel","match",97,2,1,599
"114",1,60,"059_Sitzbank_Holzbank_ohne_Lehne","mismatch",59,2,1,653
"115",1,120,"078_Tisch_Sofatisch","mismatch",78,2,1,699
"116",1,300,"076_Tisch_Holztisch","match",76,2,1,761
"117",1,240,"045_Lampe_Wandlampe","match",45,2,1,745
"118",1,60,"001_Baum_Bonsai","mismatch",1,2,1,697
"119",1,60,"083_Ventilator_Standventilator","match",83,2,1,703
"120",1,240,"087_Auto_Panzer","mismatch",87,2,1,818
"121",1,120,"058_Sitzbank_Holzbank_mit_Lehne","mismatch",58,2,1,624
"122",1,60,"019_Drucker_Heimdrucker","match",19,2,1,1153
"123",1,240,"086_Auto_Polizeiauto","match",86,2,1,603
"124",1,0,"027_Kamera_Spiegelreflexkamera","match",27,2,1,698
"125",1,0,"052_Regal_Metallregal","match",52,2,1,682
"126",1,300,"016_Computer_Laptop","mismatch",16,2,1,869
"127",1,180,"014_Blume_Sonnenblume","match",14,2,1,629
"128",1,240,"038_Toaster_2ScheibenToaster","mismatch",38,2,1,643
"129",1,0,"084_Ventilator_Tischventilator","match",84,2,1,743
"130",1,0,"036_Kaffeemaschine_Filterkaffeemaschine","mismatch",36,2,1,778
"131",1,120,"032_Kopfhoerer_Earbudohrhoerer","mismatch",32,2,1,780
"132",1,0,"067_Stuhl_Buerostuhl","mismatch",67,2,1,492
"133",1,240,"017_Computer_PC","match",17,2,1,662
"134",1,240,"081_Uhr_Digitaluhr","mismatch",81,2,1,712
"135",1,0,"034_Korb_Waeschekorb","match",34,2,1,466
"136",1,0,"071_Stuhl_Schreibtischstuhl","mismatch",71,2,1,555
"137",1,0,"025_Glas_Weinglas","match",25,2,1,514
"138",1,60,"070_Stuhl_Schalenstuhl","match",70,2,1,697
