"","sub","rotation","imagename","match","imgID","block","correct","response_time","log_RT"
"3471",6,60,"069_Stuhl_Rollstuhl","match",69,5,1,560,6.32793678372919
"3472",6,240,"083_Ventilator_Standventilator","match",83,5,1,543,6.29710931993394
"3473",6,180,"032_Kopfhoerer_Earbudohrhoerer","mismatch",32,5,1,1777,7.48268182815465
"3474",6,240,"060_Sitzbank_Schaukelbank","mismatch",60,5,1,1008,6.91572344863131
"3475",6,120,"022_Gitarre_Elektrogitarre","mismatch",22,5,1,563,6.33327962813969
"3476",6,300,"096_Auto_Oldtimer","match",96,5,1,887,6.78784498230958
"3477",6,60,"035_Kaffeemaschine_Espressomaschine","mismatch",35,5,1,812,6.69950034016168
"3478",6,180,"064_Sofa_Ledersofa","match",64,5,1,686,6.53087762772588
"3479",6,180,"046_Besteck_Messer","match",46,5,1,756,6.62804137617953
"3480",6,120,"071_Stuhl_Schreibtischstuhl","match",71,5,1,788,6.66949808985788
"3481",6,60,"073_Telefon_Schnurtelefon","match",73,5,1,882,6.78219205600679
"3482",6,0,"066_Stuhl_Barstuhl","match",66,5,1,611,6.4150969591716
"3483",6,120,"078_Tisch_Sofatisch","match",78,5,1,1079,6.98378996525813
"3484",6,120,"051_Regal_Holzregal","match",51,5,1,955,6.86171134048073
"3485",6,300,"084_Ventilator_Tischventilator","match",84,5,1,663,6.49677499018586
"3486",6,240,"031_Klavier_Pianino","mismatch",31,5,1,833,6.72503364216684
"3487",6,180,"034_Korb_Waeschekorb","match",34,5,1,1159,7.05531284333975
"3488",6,300,"050_Nuss_Wallnuss","match",50,5,1,512,6.23832462503951
"3489",6,240,"042_Lampe_Stehlampe","match",42,5,1,418,6.03548143252476
"3490",6,120,"015_Blume_Tulpen","mismatch",15,5,1,675,6.51471269087253
"3491",6,0,"003_Baum_Tanne","match",3,5,1,561,6.3297209055227
"3492",6,300,"029_Klavier_Fluegel","mismatch",29,5,1,455,6.12029741895095
"3493",6,0,"038_Toaster_2ScheibenToaster","mismatch",38,6,1,539,6.289715570909
"3494",6,180,"055_Schrank_Kleiderschrank","match",55,6,1,782,6.66185474054531
"3495",6,60,"013_Blume_Rosen","match",13,6,1,480,6.17378610390194
"3496",6,180,"026_Kamera_Digitalkamera","match",26,6,1,488,6.19031540585315
"3497",6,300,"043_Lampe_Strassenlaterne","mismatch",43,6,1,501,6.21660610108486
"3498",6,300,"016_Computer_Laptop","match",16,6,1,500,6.21460809842219
"3499",6,60,"027_Kamera_Spiegelreflexkamera","mismatch",27,6,1,513,6.24027584517077
"3500",6,60,"098_Auto_Van","mismatch",98,6,1,619,6.4281052726846
"3501",6,120,"076_Tisch_Holztisch","mismatch",76,6,1,580,6.36302810354046
"3502",6,240,"071_Stuhl_Schreibtischstuhl","mismatch",71,6,1,692,6.53958595561767
"3503",6,60,"085_Auto_Pickuptruck","match",85,6,1,473,6.15909538849193
"3504",6,300,"003_Baum_Tanne","match",3,6,1,481,6.17586727010576
"3505",6,180,"045_Lampe_Wandlampe","match",45,6,1,975,6.88243747099785
"3506",6,120,"009_Bildschirm_Flachbildfernseher","mismatch",9,6,1,1018,6.92559519711047
"3507",6,300,"099_Eimer_Wassereimer","mismatch",99,6,1,749,6.61873898351722
"3508",6,0,"088_Flugzeug_Kampfflieger","match",88,6,1,568,6.34212141872115
"3509",6,120,"014_Blume_Sonnenblume","match",14,6,1,543,6.29710931993394
"3510",6,120,"052_Regal_Metallregal","mismatch",52,6,1,516,6.24610676548156
"3511",6,240,"067_Stuhl_Buerostuhl","mismatch",67,6,1,621,6.43133108193348
"3512",6,300,"074_Telefon_Smartphone","match",74,6,1,569,6.34388043412633
"3513",6,120,"017_Computer_PC","match",17,6,1,866,6.76388490856244
"3514",6,120,"079_Tisch_Schreibtisch","mismatch",79,6,1,1162,7.05789793741186
"3515",6,300,"053_Regal_Wandregal","mismatch",53,6,1,603,6.40191719672719
"3516",6,180,"035_Kaffeemaschine_Espressomaschine","mismatch",35,6,1,563,6.33327962813969
"3517",6,240,"015_Blume_Tulpen","match",15,6,1,465,6.14203740558736
"3518",6,60,"059_Sitzbank_Holzbank_ohne_Lehne","match",59,6,1,604,6.40357419793482
"3519",6,300,"083_Ventilator_Standventilator","mismatch",83,6,1,495,6.20455776256869
"3520",6,180,"001_Baum_Bonsai","match",1,6,1,404,6.00141487796115
"3521",6,240,"097_Besteck_Gabel","mismatch",97,6,1,622,6.43294009273918
"3522",6,180,"036_Kaffeemaschine_Filterkaffeemaschine","mismatch",36,6,1,639,6.45990445437753
"3523",6,300,"031_Klavier_Pianino","match",31,6,1,516,6.24610676548156
"3524",6,180,"056_Seife_Fluessigseife","mismatch",56,6,1,685,6.52941883826223
"3525",6,120,"050_Nuss_Wallnuss","mismatch",50,6,1,495,6.20455776256869
"3526",6,180,"084_Ventilator_Tischventilator","match",84,6,1,439,6.08449941307517
"3527",6,0,"012_Blume_Orchidee","mismatch",12,6,1,517,6.24804287450843
"3528",6,120,"029_Klavier_Fluegel","match",29,6,1,613,6.41836493593621
"3529",6,60,"075_Tisch_Etagentisch","match",75,6,1,925,6.82979373751242
"3530",6,60,"092_Boot_Ruderboot","match",92,6,1,719,6.57786135772105
"3531",6,0,"091_Flugzeug_Segelflieger","mismatch",91,6,1,1051,6.95749737087695
"3532",6,60,"008_Bildschirm_Desktop","mismatch",8,6,1,542,6.29526600143965
"3533",6,300,"022_Gitarre_Elektrogitarre","match",22,6,1,583,6.36818718635049
"3534",6,120,"081_Uhr_Digitaluhr","match",81,6,1,810,6.69703424766648
"3535",6,180,"037_Mixer_Standmixer","mismatch",37,6,1,608,6.41017488196617
"3536",6,120,"096_Auto_Oldtimer","match",96,6,1,774,6.65157187358973
"3537",6,300,"010_Blume_Gaenseblume","match",10,6,1,518,6.24997524225948
"3538",6,120,"095_Boot_Kreuzfahrtschiff","mismatch",95,6,1,1370,7.22256601882217
"3539",6,300,"093_Boot_Kanu","mismatch",93,6,1,689,6.53524127101366
"3540",6,120,"041_Lampe_Schreibtischlampe","match",41,6,1,799,6.68336094576627
"3541",6,60,"077_Tisch_Rundtisch","mismatch",77,6,1,649,6.47543271670409
"3542",6,60,"021_Gitarre_Akustikgitarre","mismatch",21,6,1,750,6.62007320653036
"3543",6,240,"061_Sitzbank_Baumbank","mismatch",61,6,1,787,6.6682282484174
"3544",6,120,"057_Seife_Kernseife","match",57,6,1,564,6.33505425149806
"3545",6,60,"089_Eimer_Muelleimer","match",89,6,1,721,6.58063913728495
"3546",6,180,"044_Lampe_Tischleuchte","match",44,6,1,518,6.24997524225948
"3547",6,0,"005_Bett_Doppelbett","mismatch",5,6,1,898,6.8001700683022
"3548",6,180,"006_Bett_Einzelbett","mismatch",6,6,1,911,6.81454289725996
"3549",6,60,"087_Auto_Panzer","match",87,6,1,395,5.97888576490112
"3550",6,0,"019_Drucker_Heimdrucker","mismatch",19,6,1,708,6.56244409369372
"3551",6,180,"018_Computer_Tablet","mismatch",18,6,1,829,6.7202201551353
"3552",6,300,"040_Lampe_Deckenlampe","mismatch",40,6,1,549,6.30809844150953
"3553",6,0,"094_Boot_Segelschiff","match",94,6,1,662,6.49526555593701
"3554",6,60,"062_Sofa_Dreiersofa","match",62,6,1,564,6.33505425149806
"3555",6,60,"020_Drucker_Multifunktionsdrucker","mismatch",20,6,1,1109,7.01121398735037
"3556",6,120,"054_Schrank_Bueroschrank","mismatch",54,6,1,489,6.19236248947487
"3557",6,120,"064_Sofa_Ledersofa","mismatch",64,6,1,593,6.38519439899773
"3558",6,60,"046_Besteck_Messer","match",46,6,1,595,6.38856140554563
"3559",6,300,"023_Glas_Sektglas","match",23,6,1,473,6.15909538849193
"3560",6,180,"066_Stuhl_Barstuhl","mismatch",66,6,1,699,6.54965074223381
"3561",6,300,"060_Sitzbank_Schaukelbank","mismatch",60,6,1,619,6.4281052726846
"3562",6,120,"004_Baum_Weide","match",4,6,1,445,6.09807428216624
"3563",6,240,"039_Wasserkocher_modernerWasserkocher","match",39,6,1,705,6.55819780281227
"3564",6,300,"073_Telefon_Schnurtelefon","match",73,6,1,618,6.42648845745769
"3565",6,300,"032_Kopfhoerer_Earbudohrhoerer","match",32,6,1,664,6.49828214947643
