"","sub","consistency","rotation","imgID","imagename","movable","correct","response_time"
"1",1,"con","noncanon",104,"104_Fahrradstaender",1,1,2243
"2",1,"incon","canon",76,"076_Tisch_Holztisch",0,1,1942
"3",1,"con","canon",66,"066_Stuhl_Barstuhl",1,1,1495
"5",1,"con","canon",13,"013_Blume_Rosen",1,1,2561
"6",1,"con","noncanon",32,"032_Kopfhoerer_Earbudohrhoerer",1,1,1285
"7",1,"con","noncanon",15,"015_Blume_Tulpen",1,1,1740
"9",1,"con","noncanon",16,"016_Computer_Laptop",1,1,1277
"10",1,"con","canon",110,"110_Tretauto",1,1,1259
"11",1,"incon","canon",102,"102_Bett_Kinderbett",1,1,818
"13",1,"con","canon",112,"112_Wanne_Badewanne",0,1,969
"14",1,"con","noncanon",114,"114_Brokkoli",1,1,1331
"15",1,"con","noncanon",62,"062_Sofa_Dreiersofa",0,1,1011
"16",1,"incon","canon",82,"082_Schaukelpferd",1,1,796
"17",1,"con","canon",113,"113_Brezel",1,1,631
"18",1,"incon","noncanon",105,"105_Geschenk",0,1,1007
"19",1,"con","canon",25,"025_Glas_Weinglas",1,1,783
"20",1,"incon","canon",43,"043_Lampe_Strassenlaterne",0,1,1338
"21",1,"con","noncanon",7,"007_Bett_Krankenhausbett",0,1,1601
"22",1,"con","canon",58,"058_Sitzbank_Holzbank_mit_Lehne",0,1,2160
"23",1,"con","noncanon",109,"109_Router",1,1,1039
"24",1,"con","noncanon",111,"111_Wagen_Einkaufswagen",1,1,1210
"26",1,"incon","canon",28,"028_Wasserkocher_retroWasserkocher",1,1,1087
"27",1,"incon","canon",78,"078_Tisch_Sofatisch",0,1,1898
"28",1,"incon","noncanon",27,"027_Kamera_Spiegelreflexkamera",1,1,704
"29",1,"incon","noncanon",101,"101_Becken_Waschbecken",0,1,1745
"30",1,"incon","noncanon",61,"061_Sitzbank_Baumbank",0,0,2465
"31",1,"con","noncanon",42,"042_Lampe_Stehlampe",0,1,716
"32",1,"incon","noncanon",119,"119_Paprika",1,1,665
"33",1,"incon","noncanon",63,"063_Sofa_Ecksofa",0,1,1129
"34",1,"con","canon",22,"022_Gitarre_Elektrogitarre",1,1,617
"35",1,"incon","noncanon",65,"065_Sofa_Zweiersofa",0,1,719
"37",1,"con","canon",19,"019_Drucker_Heimdrucker",0,1,742
"39",1,"incon","canon",70,"070_Stuhl_Schalenstuhl",1,1,644
"40",1,"incon","noncanon",106,"106_Hydrant",1,1,572
"41",1,"con","noncanon",80,"080_Uhr_Armbanduhr",1,1,1493
"43",1,"con","canon",36,"036_Roller",1,1,671
"45",1,"con","noncanon",56,"056_Seife_Fluessigseife",1,1,3092
"46",1,"con","canon",116,"116_Kamin",0,1,738
"47",1,"con","canon",115,"115_Kaefig_Vogelkaefig",0,1,934
"48",1,"con","canon",51,"051_Regal_Holzregal",0,1,1062
"49",1,"incon","noncanon",33,"033_Kopfhoerer_Muschelkopfhoerer",1,1,592
"51",1,"incon","canon",91,"091_Flugzeug_Segelflieger",0,1,669
"52",1,"con","noncanon",47,"047_Nuss_Erdnuss",1,1,753
"53",1,"con","noncanon",67,"067_Stuhl_Buerostuhl",1,1,642
"54",1,"con","canon",69,"069_Stuhl_Rollstuhl",1,1,851
"55",1,"con","canon",23,"023_Glas_Sektglas",1,1,436
"56",1,"incon","canon",103,"103_Zahnbuerste",0,1,515
"57",1,"con","noncanon",52,"052_Regal_Metallregal",0,1,1079
"58",1,"incon","noncanon",6,"006_Bett_Einzelbett",0,1,1749
