"","sub","consistency","rotation","imgID","imagename","movable","correct","response_time"
"90",1,"incon","noncanon",30,"030_Wippe",0,1,953
"91",1,"con","canon",86,"086_Auto_Polizeiauto",0,1,656
"92",1,"con","noncanon",88,"088_Flugzeug_Kampfflieger",0,1,861
"93",1,"incon","noncanon",93,"093_Boot_Kanu",1,1,3067
"94",1,"incon","noncanon",44,"044_Lampe_Tischleuchte",1,1,707
"95",1,"con","noncanon",72,"072_Sessel_Ledersessel",0,1,657
"96",1,"incon","noncanon",50,"050_Nuss_Wallnuss",1,1,582
"97",1,"con","canon",99,"099_Eimer_Wassereimer",1,1,845
"98",1,"incon","canon",97,"097_Besteck_Gabel",1,1,906
"99",1,"incon","canon",84,"084_Ventilator_Tischventilator",1,1,901
"100",1,"incon","canon",59,"059_Sitzbank_Holzbank_ohne_Lehne",0,1,1108
"101",1,"incon","canon",68,"068_Stuhl_Holzstuhl",1,1,735
"102",1,"incon","canon",11,"011_Blume_Kaktus",0,1,1529
"103",1,"incon","noncanon",4,"004_Baum_Weide",0,0,1959
"104",1,"incon","canon",117,"117_Muffin",1,1,761
"105",1,"incon","canon",92,"092_Boot_Ruderboot",1,1,629
"106",1,"con","noncanon",60,"060_Sitzbank_Schaukelbank",0,1,673
"107",1,"con","noncanon",57,"057_Seife_Kernseife",1,1,906
"108",1,"con","canon",98,"098_Auto_Van",0,1,622
"109",1,"incon","noncanon",12,"012_Blume_Orchidee",1,1,919
"110",1,"incon","noncanon",71,"071_Stuhl_Schreibtischstuhl",1,1,781
"111",1,"incon","noncanon",74,"074_Telefon_Smartphone",1,0,1964
"112",1,"incon","noncanon",79,"079_Tisch_Schreibtisch",0,1,3173
"113",1,"incon","canon",21,"021_Gitarre_Akustikgitarre",1,1,521
"114",1,"incon","noncanon",9,"009_Bildschirm_Flachbildfernseher",0,0,972
"115",1,"incon","canon",39,"039_Wasserkocher_moderner_Wasserkocher",1,1,720
"116",1,"incon","canon",118,"118_Pilz_Champignon",1,1,844
"117",1,"con","canon",87,"087_Auto_Panzer",0,1,2309
"118",1,"con","noncanon",46,"046_Besteck_Messer",1,1,912
"119",1,"con","canon",3,"003_Baum_Tanne",0,1,517
"120",1,"con","canon",5,"005_Bett_Doppelbett",0,1,603
"121",10,"con","canon",89,"089_Eimer_Muelleimer",1,1,2143
"122",10,"incon","noncanon",112,"112_Wanne_Badewanne",0,1,1344
"123",10,"incon","noncanon",69,"069_Stuhl_Rollstuhl",1,0,1509
"124",10,"con","noncanon",12,"012_Blume_Orchidee",1,1,2338
"125",10,"con","canon",71,"071_Stuhl_Schreibtischstuhl",1,1,1177
"126",10,"con","noncanon",101,"101_Becken_Waschbecken",0,1,1876
"127",10,"con","canon",50,"050_Nuss_Wallnuss",1,1,1037
"128",10,"con","canon",49,"049_Nuss_Pistazie",1,1,1656
"129",10,"con","canon",68,"068_Stuhl_Holzstuhl",1,1,941
"130",10,"incon","noncanon",34,"034_Korb_Waeschekorb",1,1,995
"131",10,"incon","canon",16,"016_Computer_Laptop",1,1,734
"132",10,"con","canon",62,"062_Sofa_Dreiersofa",0,1,793
"133",10,"incon","canon",87,"087_Auto_Panzer",0,0,1202
"134",10,"con","canon",108,"108_MP3player",1,1,953
"135",10,"incon","noncanon",74,"074_Telefon_Smartphone",1,0,1585
"136",10,"con","canon",78,"078_Tisch_Sofatisch",0,1,926
"137",10,"incon","noncanon",110,"110_Tretauto",1,1,1070
"138",10,"con","canon",95,"095_Boot_Kreuzfahrtschiff",0,1,1316
"139",10,"incon","noncanon",64,"064_Sofa_Ledersofa",0,0,1446
"140",10,"incon","noncanon",20,"020_Drucker_Multifunktionsdrucker",0,1,831
"141",10,"incon","noncanon",54,"054_Schrank_Bueroschrank",0,0,1611
"142",10,"con","noncanon",30,"030_Wippe",0,1,1567
"143",10,"incon","canon",25,"025_Glas_Weinglas",1,1,507
"144",10,"con","noncanon",88,"088_Flugzeug_Kampfflieger",0,1,1117
"145",10,"con","noncanon",14,"014_Blume_Sonnenblume",1,1,1510
"146",10,"incon","noncanon",52,"052_Regal_Metallregal",0,1,1589
"147",10,"con","noncanon",7,"007_Bett_Krankenhausbett",0,1,1081
"148",10,"incon","noncanon",100,"100_Besteck_Loeffel",1,1,835
"149",10,"incon","canon",102,"102_Bett_Kinderbett",1,1,672
"150",10,"incon","canon",111,"111_Wagen_Einkaufswagen",1,1,558
"151",10,"con","noncanon",63,"063_Sofa_Ecksofa",0,1,952
"152",10,"incon","noncanon",9,"009_Bildschirm_Flachbildfernseher",0,0,1320
"153",10,"incon","canon",17,"017_Computer_PC",0,1,979
"154",10,"incon","canon",117,"117_Muffin",1,1,876
"155",10,"con","canon",11,"011_Blume_Kaktus",0,0,973
"156",10,"incon","noncanon",10,"010_Blume_Gaenseblume",1,1,574
"157",10,"con","canon",51,"051_Regal_Holzregal",0,1,701
"158",10,"incon","canon",6,"006_Bett_Einzelbett",0,1,693
"159",10,"con","canon",116,"116_Kamin",0,1,554
"160",10,"incon","noncanon",81,"081_Uhr_Digitaluhr",1,0,1074
"161",10,"incon","noncanon",85,"085_Auto_Pickuptruck",0,1,1077
"162",10,"con","canon",98,"098_Auto_Van",0,1,718
"163",10,"con","noncanon",83,"083_Ventilator_Standventilator",0,1,911
"164",10,"incon","canon",27,"027_Kamera_Spiegelreflexkamera",1,1,581
"165",10,"incon","noncanon",82,"082_Schaukelpferd",1,1,818
"166",10,"incon","noncanon",60,"060_Sitzbank_Schaukelbank",0,1,676
"167",10,"con","noncanon",109,"109_Router",1,1,902
"168",10,"con","noncanon",2,"002_Baum_Palme",0,1,497
"169",10,"con","noncanon",86,"086_Auto_Polizeiauto",0,1,492
"170",10,"con","noncanon",56,"056_Seife_Fluessigseife",1,0,1324
"171",10,"incon","canon",24,"024_Glas_Trinkglas",1,1,600
"172",10,"incon","noncanon",119,"119_Paprika",1,1,573
"173",10,"con","canon",106,"106_Hydrant",1,1,455
"174",10,"con","canon",90,"090_Flugzeug_Zweiteweltkriegsflieger",0,1,402
"175",10,"con","canon",48,"048_Nuss_Mandel",1,1,455
"176",10,"incon","canon",97,"097_Besteck_Gabel",1,1,414
"177",10,"con","noncanon",42,"042_Lampe_Stehlampe",0,1,701
"178",10,"con","noncanon",3,"003_Baum_Tanne",0,1,716
"179",10,"incon","canon",37,"037_Mixer_Standmixer",1,1,620
"180",10,"con","noncanon",47,"047_Nuss_Erdnuss",1,1,421
"181",10,"incon","canon",28,"028_Wasserkocher_retroWasserkocher",1,1,772
"182",10,"incon","canon",66,"066_Stuhl_Barstuhl",1,1,527
"183",10,"incon","canon",5,"005_Bett_Doppelbett",0,1,594
"184",10,"incon","noncanon",39,"039_Wasserkocher_moderner_Wasserkocher",1,1,766
"185",10,"con","noncanon",104,"104_Fahrradstaender",1,1,629
"186",10,"con","noncanon",113,"113_Brezel",1,1,577
"187",10,"incon","canon",21,"021_Gitarre_Akustikgitarre",1,1,392
"188",10,"incon","noncanon",92,"092_Boot_Ruderboot",1,1,641
"189",10,"con","canon",29,"029_Klavier_Fluegel",0,1,449
"190",10,"incon","noncanon",31,"031_Muelltonne",0,1,1207
"191",10,"con","noncanon",72,"072_Sessel_Ledersessel",0,1,790
"192",10,"con","canon",77,"077_Tisch_Rundtisch",0,1,477
"193",10,"con","canon",19,"019_Drucker_Heimdrucker",0,1,743
"194",10,"con","canon",55,"055_Schrank_Kleiderschrank",0,1,474
"195",10,"incon","canon",46,"046_Besteck_Messer",1,1,644
"196",10,"con","canon",22,"022_Gitarre_Elektrogitarre",1,1,410
"197",10,"incon","canon",44,"044_Lampe_Tischleuchte",1,1,391
"198",10,"incon","noncanon",70,"070_Stuhl_Schalenstuhl",1,1,565
"199",10,"con","noncanon",58,"058_Sitzbank_Holzbank_mit_Lehne",0,1,1002
"200",10,"incon","noncanon",59,"059_Sitzbank_Holzbank_ohne_Lehne",0,1,713
"201",10,"con","canon",32,"032_Kopfhoerer_Earbudohrhoerer",1,1,588
"202",10,"incon","noncanon",84,"084_Ventilator_Tischventilator",1,1,623
"203",10,"incon","noncanon",33,"033_Kopfhoerer_Muschelkopfhoerer",1,1,652
"204",10,"con","canon",75,"075_Tisch_Etagentisch",0,1,348
"205",10,"incon","canon",65,"065_Sofa_Zweiersofa",0,1,626
"206",10,"con","noncanon",45,"045_Lampe_Wandlampe",0,1,1256
"207",10,"con","canon",76,"076_Tisch_Holztisch",0,1,530
"208",10,"con","noncanon",96,"096_Auto_Oldtimer",0,1,831
"209",10,"incon","noncanon",4,"004_Baum_Weide",0,1,683
"210",10,"incon","canon",79,"079_Tisch_Schreibtisch",0,1,866
"211",10,"incon","noncanon",8,"008_Bildschirm_Desktop",0,1,938
"212",10,"incon","canon",40,"040_Lampe_Deckenlampe",0,1,539
"213",10,"incon","canon",73,"073_Telefon_Schnurtelefon",1,1,1108
"214",10,"incon","canon",80,"080_Uhr_Armbanduhr",1,1,877
