"","sub","consistency","rotation","imgID","imagename","correct","response_time"
"3463",6,"con","canon",6,"006_Bett_Einzelbett",1,675
"3464",6,"incon","noncanon",29,"029_Klavier_Fluegel",1,645
"3465",6,"con","canon",89,"089_Eimer_Muelleimer",1,549
"3466",7,"con","noncanon",76,"076_Tisch_Holztisch",1,2065
"3467",7,"incon","noncanon",75,"075_Tisch_Etagentisch",0,334
"3468",7,"con","canon",61,"061_Sitzbank_Baumbank",0,782
"3469",7,"con","canon",27,"027_Kamera_Spiegelreflexkamera",1,1508
"3470",7,"con","canon",31,"031_Muelltonne",1,1441
"3471",7,"incon","canon",66,"066_Stuhl_Barstuhl",0,334
"3472",7,"con","canon",54,"054_Schrank_Bueroschrank",1,1190
"3473",7,"incon","noncanon",103,"103_Zahnbuerste",1,314
"3474",7,"incon","canon",32,"032_Kopfhoerer_Earbudohrhoerer",0,425
"3475",7,"incon","canon",43,"043_Lampe_Strassenlaterne",1,396
"3476",7,"con","canon",88,"088_Flugzeug_Kampfflieger",1,623
"3477",7,"con","noncanon",37,"037_Mixer_Standmixer",1,483
"3478",7,"incon","noncanon",20,"020_Drucker_Multifunktionsdrucker",1,550
"3479",7,"incon","canon",6,"006_Bett_Einzelbett",1,892
"3480",7,"con","noncanon",118,"118_Pilz_Champignon",1,320
"3481",7,"incon","canon",34,"034_Korb_Waeschekorb",1,335
"3482",7,"incon","canon",116,"116_Kamin",1,360
"3483",7,"incon","noncanon",45,"045_Lampe_Wandlampe",1,221
"3484",7,"incon","canon",102,"102_Bett_Kinderbett",1,424
"3485",7,"incon","noncanon",117,"117_Muffin",1,207
"3486",7,"con","noncanon",64,"064_Sofa_Ledersofa",1,511
"3487",7,"con","noncanon",107,"107_Kranz_Adventskranz",1,346
"3488",7,"con","canon",63,"063_Sofa_Ecksofa",1,526
"3489",7,"con","canon",38,"038_Toaster_2ScheibenToaster",1,415
"3490",7,"incon","canon",39,"039_Wasserkocher_moderner_Wasserkocher",1,406
"3491",7,"con","canon",10,"010_Blume_Gaenseblume",1,386
"3492",7,"incon","noncanon",2,"002_Baum_Palme",1,185
"3493",7,"incon","canon",115,"115_Kaefig_Vogelkaefig",1,418
"3494",7,"incon","canon",21,"021_Gitarre_Akustikgitarre",1,339
"3495",7,"incon","canon",42,"042_Lampe_Stehlampe",1,336
"3496",7,"incon","noncanon",12,"012_Blume_Orchidee",1,369
"3497",7,"incon","canon",30,"030_Wippe",1,368
"3498",7,"incon","noncanon",82,"082_Schaukelpferd",1,679
"3499",7,"con","canon",16,"016_Computer_Laptop",1,324
