"","sub","consistency","rotation","imgID","imagename","correct","response_time","log_RT"
"1340",2,"incon","canon",7,"007_Bett_Krankenhausbett",1,831,6.72262979485545
"1341",2,"con","canon",33,"033_Kopfhoerer_Muschelkopfhoerer",1,516,6.24610676548156
"1342",2,"incon","canon",111,"111_Wagen_Einkaufswagen",1,461,6.13339804299665
"1343",2,"incon","canon",95,"095_Boot_Kreuzfahrtschiff",1,419,6.03787091992214
"1345",2,"incon","noncanon",2,"002_Baum_Palme",1,530,6.27287700654617
"1346",2,"con","canon",54,"054_Schrank_Bueroschrank",1,839,6.73221070646721
"1347",2,"incon","canon",46,"046_Besteck_Messer",1,626,6.4393503711001
"1348",2,"incon","noncanon",64,"064_Sofa_Ledersofa",1,748,6.61740297797448
"1349",2,"con","noncanon",83,"083_Ventilator_Standventilator",1,567,6.34035930372775
"1350",2,"incon","noncanon",97,"097_Besteck_Gabel",1,434,6.07304453410041
"1351",2,"con","noncanon",51,"051_Regal_Holzregal",1,605,6.40522845803084
"1352",2,"incon","noncanon",78,"078_Tisch_Sofatisch",1,569,6.34388043412633
"1353",2,"incon","noncanon",76,"076_Tisch_Holztisch",1,457,6.12468339089421
"1354",2,"incon","noncanon",28,"028_Wasserkocher_retroWasserkocher",1,674,6.51323011091231
"1355",2,"incon","canon",55,"055_Schrank_Kleiderschrank",1,527,6.26720054854136
"1356",2,"con","noncanon",85,"085_Auto_Pickuptruck",1,759,6.63200177739563
"1357",2,"con","noncanon",22,"022_Gitarre_Elektrogitarre",1,675,6.51471269087253
"1358",2,"con","canon",50,"050_Nuss_Wallnuss",1,457,6.12468339089421
"1359",2,"con","noncanon",115,"115_Kaefig_Vogelkaefig",1,879,6.77878489768518
"1360",2,"incon","canon",37,"037_Mixer_Standmixer",1,453,6.11589212548303
"1362",2,"incon","noncanon",70,"070_Stuhl_Schalenstuhl",1,507,6.22851100359118
"1363",2,"con","canon",75,"075_Tisch_Etagentisch",1,539,6.289715570909
"1364",2,"incon","canon",42,"042_Lampe_Stehlampe",1,582,6.36647044773144
"1365",2,"con","noncanon",69,"069_Stuhl_Rollstuhl",1,670,6.50727771238501
"1366",2,"con","noncanon",14,"014_Blume_Sonnenblume",1,491,6.19644412779452
"1367",2,"con","canon",34,"034_Korb_Waeschekorb",1,420,6.04025471127741
"1368",2,"incon","noncanon",117,"117_Muffin",1,835,6.72743172485086
"1369",2,"incon","noncanon",94,"094_Boot_Segelschiff",1,749,6.61873898351722
"1370",2,"con","noncanon",8,"008_Bildschirm_Desktop",1,627,6.44094654063292
"1371",2,"incon","noncanon",39,"039_Wasserkocher_moderner_Wasserkocher",1,416,6.03068526026126
"1372",2,"con","noncanon",19,"019_Drucker_Heimdrucker",1,515,6.24416690066374
"1373",2,"incon","noncanon",68,"068_Stuhl_Holzstuhl",1,450,6.10924758276437
"1374",2,"con","canon",12,"012_Blume_Orchidee",1,610,6.41345895716736
"1375",2,"con","canon",4,"004_Baum_Weide",1,475,6.16331480403464
"1376",2,"incon","canon",53,"053_Regal_Wandregal",1,612,6.41673228251233
"1377",2,"con","canon",79,"079_Tisch_Schreibtisch",1,663,6.49677499018586
"1378",2,"con","canon",93,"093_Boot_Kanu",1,386,5.95583736946483
"1379",2,"incon","noncanon",49,"049_Nuss_Pistazie",1,646,6.4707995037826
"1380",2,"con","canon",6,"006_Bett_Einzelbett",1,668,6.50428817353665
"1381",2,"incon","canon",114,"114_Brokkoli",1,683,6.52649485957079
"1382",2,"incon","noncanon",59,"059_Sitzbank_Holzbank_ohne_Lehne",1,1110,7.01211529430638
"1383",2,"con","noncanon",13,"013_Blume_Rosen",1,582,6.36647044773144
"1384",2,"incon","canon",80,"080_Uhr_Armbanduhr",1,520,6.25382881157547
"1385",2,"con","noncanon",58,"058_Sitzbank_Holzbank_mit_Lehne",1,580,6.36302810354046
"1386",2,"incon","canon",56,"056_Seife_Fluessigseife",1,684,6.52795791762255
"1387",2,"incon","canon",60,"060_Sitzbank_Schaukelbank",1,636,6.45519856334012
"1388",2,"con","canon",24,"024_Glas_Trinkglas",1,513,6.24027584517077
"1389",2,"con","canon",105,"105_Geschenk",1,599,6.39526159811545
"1390",2,"con","noncanon",98,"098_Auto_Van",1,649,6.47543271670409
"1391",2,"incon","canon",88,"088_Flugzeug_Kampfflieger",1,1045,6.95177216439891
"1392",2,"incon","canon",107,"107_Kranz_Adventskranz",1,558,6.32435896238131
