"","sub","rotation","imagename","match","imgID","block","correct","response_time","log_RT"
"68",1,300,"007_Bett_Krankenhausbett","mismatch",7,1,1,892,6.79346613258001
"69",1,60,"063_Sofa_Ecksofa","match",63,1,1,805,6.69084227741856
"70",1,60,"047_Nuss_Erdnuss","mismatch",47,1,1,997,6.90475076996184
"71",1,0,"008_Bildschirm_Desktop","mismatch",8,1,1,1400,7.24422751560335
"72",1,180,"089_Eimer_Muelleimer","match",89,1,1,1133,7.03262426102801
"73",1,120,"079_Tisch_Schreibtisch","match",79,1,1,954,6.86066367144829
"74",1,180,"005_Bett_Doppelbett","mismatch",5,1,1,932,6.83733281468559
"75",1,300,"080_Uhr_Armbanduhr","mismatch",80,1,1,778,6.65672652417839
"76",1,120,"021_Gitarre_Akustikgitarre","match",21,1,1,1381,7.23056315340929
"77",1,300,"039_Wasserkocher_modernerWasserkocher","match",39,1,1,636,6.45519856334012
"78",1,60,"026_Kamera_Digitalkamera","mismatch",26,1,1,1142,7.04053639021596
"80",1,300,"060_Sitzbank_Schaukelbank","mismatch",60,1,1,696,6.54534966033442
"81",1,180,"006_Bett_Einzelbett","match",6,1,1,1472,7.29437729928882
"82",1,240,"090_Flugzeug_Zweiteweltkriegsflieger","mismatch",90,1,1,582,6.36647044773144
"83",1,60,"051_Regal_Holzregal","mismatch",51,1,1,1257,7.13648320859025
"84",1,180,"082_Uhr_Wanduhr","mismatch",82,1,1,1103,7.0057890192535
"85",1,300,"035_Kaffeemaschine_Espressomaschine","match",35,1,1,760,6.63331843328038
"86",1,60,"094_Boot_Segelschiff","mismatch",94,1,1,615,6.42162226780652
"87",1,0,"085_Auto_Pickuptruck","mismatch",85,1,1,590,6.38012253689976
"88",1,60,"099_Eimer_Wassereimer","match",99,1,1,783,6.6631326959908
"89",1,60,"032_Kopfhoerer_Earbudohrhoerer","mismatch",32,1,1,2120,7.65917136766606
"90",1,60,"029_Klavier_Fluegel","match",29,1,1,842,6.73578001424233
"91",1,0,"010_Blume_Gaenseblume","match",10,1,1,752,6.62273632394984
"92",1,300,"071_Stuhl_Schreibtischstuhl","mismatch",71,1,1,983,6.89060912014717
"93",1,120,"049_Nuss_Pistazie","mismatch",49,1,1,955,6.86171134048073
"94",1,240,"042_Lampe_Stehlampe","mismatch",42,1,1,973,6.880384082186
"95",1,240,"100_Besteck_Loeffel","mismatch",100,1,1,604,6.40357419793482
"97",1,0,"069_Stuhl_Rollstuhl","match",69,1,1,1352,7.20934025660291
"98",1,240,"019_Drucker_Heimdrucker","mismatch",19,1,1,1834,7.51425465281641
"99",1,120,"022_Gitarre_Elektrogitarre","mismatch",22,1,1,764,6.63856778916652
"100",1,0,"016_Computer_Laptop","match",16,1,1,680,6.52209279817015
"101",1,300,"010_Blume_Gaenseblume","mismatch",10,2,1,512,6.23832462503951
"102",1,120,"080_Uhr_Armbanduhr","match",80,2,1,732,6.59578051396131
"103",1,180,"068_Stuhl_Holzstuhl","match",68,2,1,694,6.5424719605068
"104",1,240,"051_Regal_Holzregal","match",51,2,1,1353,7.21007962817079
"105",1,240,"024_Glas_Trinkglas","match",24,2,1,641,6.46302945692067
"106",1,240,"085_Auto_Pickuptruck","match",85,2,1,664,6.49828214947643
"107",1,120,"023_Glas_Sektglas","mismatch",23,2,1,1231,7.11558212618445
"108",1,240,"018_Computer_Tablet","mismatch",18,2,1,679,6.5206211275587
"109",1,0,"003_Baum_Tanne","mismatch",3,2,1,602,6.40025744530882
"110",1,300,"021_Gitarre_Akustikgitarre","match",21,2,1,483,6.18001665365257
"111",1,120,"035_Kaffeemaschine_Espressomaschine","mismatch",35,2,1,1387,7.23489842031483
"112",1,240,"072_Sessel_Ledersessel","mismatch",72,2,1,1908,7.55381085200823
"113",1,300,"097_Besteck_Gabel","match",97,2,1,599,6.39526159811545
"114",1,60,"059_Sitzbank_Holzbank_ohne_Lehne","mismatch",59,2,1,653,6.48157712927643
"115",1,120,"078_Tisch_Sofatisch","mismatch",78,2,1,699,6.54965074223381
"116",1,300,"076_Tisch_Holztisch","match",76,2,1,761,6.63463335786169
"117",1,240,"045_Lampe_Wandlampe","match",45,2,1,745,6.61338421837956
"118",1,60,"001_Baum_Bonsai","mismatch",1,2,1,697,6.54678541076052
"119",1,60,"083_Ventilator_Standventilator","match",83,2,1,703,6.55535689181067
"120",1,240,"087_Auto_Panzer","mismatch",87,2,1,818,6.70686233660275
"121",1,120,"058_Sitzbank_Holzbank_mit_Lehne","mismatch",58,2,1,624,6.43615036836943
"122",1,60,"019_Drucker_Heimdrucker","match",19,2,1,1153,7.05012252026906
"123",1,240,"086_Auto_Polizeiauto","match",86,2,1,603,6.40191719672719
"124",1,0,"027_Kamera_Spiegelreflexkamera","match",27,2,1,698,6.54821910276237
"125",1,0,"052_Regal_Metallregal","match",52,2,1,682,6.52502965784346
"126",1,300,"016_Computer_Laptop","mismatch",16,2,1,869,6.76734312526539
"127",1,180,"014_Blume_Sonnenblume","match",14,2,1,629,6.44413125670044
"128",1,240,"038_Toaster_2ScheibenToaster","mismatch",38,2,1,643,6.46614472423762
"129",1,0,"084_Ventilator_Tischventilator","match",84,2,1,743,6.61069604471776
"130",1,0,"036_Kaffeemaschine_Filterkaffeemaschine","mismatch",36,2,1,778,6.65672652417839
"131",1,120,"032_Kopfhoerer_Earbudohrhoerer","mismatch",32,2,1,780,6.65929391968364
"132",1,0,"067_Stuhl_Buerostuhl","mismatch",67,2,1,492,6.19847871649231
"133",1,240,"017_Computer_PC","match",17,2,1,662,6.49526555593701
"134",1,240,"081_Uhr_Digitaluhr","mismatch",81,2,1,712,6.56807791141198
"135",1,0,"034_Korb_Waeschekorb","match",34,2,1,466,6.14418563412565
"136",1,0,"071_Stuhl_Schreibtischstuhl","mismatch",71,2,1,555,6.31896811374643
"137",1,0,"025_Glas_Weinglas","match",25,2,1,514,6.24222326545517
"138",1,60,"070_Stuhl_Schalenstuhl","match",70,2,1,697,6.54678541076052
